Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PUTDEG-PWY,putrescine degradation I,PROTON // NADH // 4-AMINO-BUTYRATE // NAD // WATER // GLT // 4-AMINO-BUTYRALDEHYDE // PUTRESCINE // 2-KETOGLUTARATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00334'>C00334</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00555'>C00555</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a>,G1G01-2981 // G1G01-1573,G1G01-2981-MONOMER // G1G01-1573-MONOMER,gamma-aminobutyraldehyde dehydrogenase // medium chain aldehyde dehydrogenase
PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // GLT // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // Pi // ADP // FORMATE // ATP // PROTON // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // THF-GLU-N // FORMYL-THF-GLU-N // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03090'>C03090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03373'>C03373</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04640'>C04640</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04376'>C04376</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03838'>C03838</a>,G1G01-1762 // G1G01-2130 // G1G01-5160 // G1G01-1110 // G1G01-1763 // G1G01-1549,G1G01-1762-MONOMER // G1G01-2130-MONOMER // G1G01-5160-MONOMER // G1G01-1110-MONOMER // G1G01-1763-MONOMER // G1G01-1549-MONOMER,phosphoribosylglycinamide formyltransferase // amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase
ARGDEGRAD-PWY,L-arginine degradation V (arginine deiminase pathway),Pi // L-ORNITHINE // ADP // CARBAMOYL-P // ATP // CARBON-DIOXIDE // CARBAMATE // PROTON // L-CITRULLINE // AMMONIUM // WATER // ARG,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00077'>C00077</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00169'>C00169</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01563'>C01563</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00327'>C00327</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a>,G1G01-1152 // G1G01-1073 // G1G01-1072 // G1G01-5049 // G1G01-5050 // G1G01-1074,G1G01-1152-MONOMER // G1G01-1073-MONOMER // G1G01-1072-MONOMER // CPLX1G01-78 // G1G01-1074-MONOMER,ornithine carbamoyltransferase // carbamate kinase // carbamoyl-phosphate synthase // arginine deiminase
PWY-7798,protein <i>S</i>-nitrosylation and denitrosylation,SUPER-OXIDE // NITRIC-OXIDE // OXYGEN-MOLECULE // PROT-CYS // Protein-nitrosothiol-L-alanine // S-NITROSOGLUTATHIONE // OXIDIZED-GLUTATHIONE // CPD-19217 // GLUTATHIONE // NADH // HYDROXYLAMINE // PROTON // AMMONIUM // WATER // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00704'>C00704</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00533'>C00533</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02743'>C02743</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00127'>C00127</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00051'>C00051</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00192'>C00192</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-1713,G1G01-1713-MONOMER,glutathione-dependent formaldehyde dehydrogenase
PWY-5755,4-hydroxybenzoate biosynthesis II (bacteria),PYRUVATE // 4-hydroxybenzoate // CHORISMATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00156'>C00156</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00251'>C00251</a>,G1G01-5673,G1G01-5673-MONOMER,chorismate pyruvate-lyase
PWY-5188,tetrapyrrole biosynthesis I (from glutamate),Holo-Hydroxymethylbilane-Synthase // Hydroxymethylbilane-Synthase-ES // Hydroxymethylbilane-Synthase-ES2 // Hydroxymethylbilane-Synthase-ES3 // Hydroxymethylbilane-Synthase-ES4 // CPD-20105 // UROPORPHYRINOGEN-III // HYDROXYMETHYLBILANE // AMMONIUM // PORPHOBILINOGEN // WATER // 5-AMINO-LEVULINATE // PROTON // NADPH // GLUTAMATE-1-SEMIALDEHYDE // NADP // AMP // PPI // Charged-GLT-tRNAs // GLT-tRNAs // GLT // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01051'>C01051</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01024'>C01024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00931'>C00931</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00430'>C00430</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03741'>C03741</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02987'>C02987</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01641'>C01641</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-205 // G1G01-204 // G1G01-3552 // G1G01-3092 // G1G01-5121 // G1G01-807 // G1G01-2102 // G1G01-1983 // G1G01-2106 // G1G01-1985 // G1G01-2108 // G1G01-2104,G1G01-205-MONOMER // G1G01-204-MONOMER // G1G01-3552-MONOMER // G1G01-3092-MONOMER // G1G01-5121-MONOMER // G1G01-807-MONOMER // G1G01-2102-MONOMER,"uroporphyrinogen-III synthase // porphobilinogen deaminase // porphobilinogen synthase // 5-aminolevulinate dehydratase // glutamate-1-semialdehyde 2,1-aminomutase // glutamyl-tRNA reductase // glutamate--tRNA ligase"
PWY-8074,Kdo transfer to lipid IV<sub>A</sub> IV (P.putida),CPD-22402 // PROTON // CMP // CPD-22409 // CMP-KDO // CPD-22408,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00055'>C00055</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04121'>C04121</a>,G1G01-5271,G1G01-5271-MONOMER,3-deoxy-D-manno-octulosonic acid transferase
PWY0-662,PRPP biosynthesis,AMP // PRPP // PROTON // RIBOSE-5P // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> //  // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-796 // G1G01-2925,G1G01-796-MONOMER // G1G01-2925-MONOMER,ribose-phosphate pyrophosphokinase // ribose-phosphate pyrophosphokinase family protein
GLYCOLATEMET-PWY-1,glycolate and glyoxylate degradation I,CARBON-DIOXIDE // GLYOX // Donor-H2 // Acceptor // GLYCOLLATE // NADH // CPD-26279 // NAD // GLYCERATE // WATER // 2-PG // ADP // PHOSPHO-ENOL-PYRUVATE // PROTON // PYRUVATE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00048'>C00048</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00160'>C00160</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00258'>C00258</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00631'>C00631</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00074'>C00074</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-4574 // G1G01-4576 // G1G01-3398 // G1G01-1709 // G1G01-4578 // G1G01-1451,G1G01-4574-MONOMER // G1G01-4576-MONOMER // G1G01-3398-MONOMER // G1G01-1709-MONOMER // G1G01-4578-MONOMER // G1G01-1451-MONOMER,glyoxylate carboligase // 2-hydroxy-3-oxopropionate reductase // glycerate kinase // enolase // pyruvate kinase // pyruvate kinase II
SAM-PWY,S-adenosyl-L-methionine biosynthesis,PPI // Pi // S-ADENOSYLMETHIONINE // ATP // MET // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-5311,G1G01-5311-MONOMER,methionine adenosyltransferase
