Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PYRIDNUCSAL-PWY,NAD salvage pathway I (PNC VI cycle),Pi // ADP // NICOTINATE_NUCLEOTIDE // PRPP // CPD-15317 // NICOTINAMIDE_NUCLEOTIDE // GLT // GLN // NIACINE // NIACINAMIDE // WATER // NAD // PPI // AMP // PROTON // AMMONIUM // ATP // DEAMIDO-NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01185'>C01185</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00455'>C00455</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00253'>C00253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00153'>C00153</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00857'>C00857</a>,G6350 // EG10742 // EG11135 // EG10663,NICONUCADENYLYLTRAN-MONOMER // NICOTINATEPRIBOSYLTRANS-MONOMER // NMNNUCLEOSID-MONOMER // NICOTINAMID-MONOMER // NAD-SYNTH-CPLX,nicotinate-nucleotide adenylyltransferase // nicotinamidase // NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase
PWY-6609,adenine and adenosine salvage III,ADENINE // RIBOSE-1P // Pi // INOSINE // AMMONIUM // PROTON // WATER // ADENOSINE // HYPOXANTHINE // PRPP // PPI // IMP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00147'>C00147</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00294'>C00294</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00212'>C00212</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00262'>C00262</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00130'>C00130</a>,G85 // EG10222 // EG12159 // EG12097 // EG10030 // EG20098 // EG10414,XANTHOSINEPHOSPHORY-CPLX // DEOD-CPLX // CPLX0-8619 // EG12097-MONOMER // ADENODEAMIN-MONOMER // CPLX0-7685 // GPT-CPLX,xanthosine phosphorylase // purine nucleoside phosphorylase // nucleoside phosphorylase PpnP // purine nucleoside phosphorylase YfiH // adenosine deaminase // hypoxanthine phosphoribosyltransferase // xanthine-guanine phosphoribosyltransferase
2PHENDEG-PWY,phenylethylamine degradation I,HYDROGEN-PEROXIDE // AMMONIUM // OXYGEN-MOLECULE // PHENYLETHYLAMINE // PHENYLACETATE // NADH // PROTON // WATER // NAD // PHENYLACETALDEHYDE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05332'>C05332</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07086'>C07086</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00601'>C00601</a>,EG13139 // G7961,AMINEOXID-CPLX // PHENDEHYD-CPLX,copper-containing amine oxidase
PWY-6772,hydrogen production V,Oxidized-ferredoxins // Reduced-ferredoxins // HYDROGEN-MOLECULE // CARBON-DIOXIDE // PROTON // FORMATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00139'>C00139</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00138'>C00138</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00282'>C00282</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a>,EG10478 // EG10475 // EG10480 // EG10479 // EG10476 // EG10477 // EG10285 // EG11328,FHLMULTI-CPLX,formate hydrogenlyase complex
PWY0-1544,proline to cytochrome <i>bo</i> oxidase electron transfer,E- // L-DELTA1-PYRROLINE_5-CARBOXYLATE // PRO // PROTON // Ubiquinones // WATER // OXYGEN-MOLECULE // Ubiquinols,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05359'>C05359</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03912'>C03912</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00148'>C00148</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00399'>C00399</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00390'>C00390</a>,EG10801 // EG10180 // EG10179 // EG10178 // EG10181,PUTA-CPLX // CYT-O-UBIOX-CPLX,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA // cytochrome <i>bo<sub>3</sub></i> ubiquinol:oxygen oxidoreductase
PWY0-541,<i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis,PROTON // ADENOSYL-HOMO-CYS // Phospholipid-Cis-Cyclopropane-Fatty-Acids // S-ADENOSYLMETHIONINE // Phospholipid-Cis-Olefinic-Fatty-Acids,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a>,EG11531,CFA-CPLX,
PLPSAL-PWY,pyridoxal 5'-phosphate salvage I,PYRIDOXAMINE // PYRIDOXINE-5P // HYDROGEN-PEROXIDE // AMMONIUM // OXYGEN-MOLECULE // WATER // PYRIDOXAMINE-5P // PYRIDOXAL_PHOSPHATE // ADP // ATP // PYRIDOXAL // NADPH // PROTON // NADP // PYRIDOXINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00534'>C00534</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00627'>C00627</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00647'>C00647</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00018'>C00018</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00250'>C00250</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00314'>C00314</a>,EG11487 // G7259 // G6879 // EG11309,PDXH-CPLX // PDXK-CPLX // CPLX0-8031 // EG11309-MONOMER,pyridoxal kinase 1 / hydroxymethylpyrimidine kinase // pyridoxal kinase 2 // pyridoxal reductase
PWY0-43,conversion of succinate to propanoate,CARBON-DIOXIDE // PROTON // METHYL-MALONYL-COA // SUC-COA // PROPIONATE // PROPIONYL-COA // SUC,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01213'>C01213</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00163'>C00163</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00100'>C00100</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a>,EG11444 // G7516 // G7517,CPLX0-7741 // CPLX0-254 // G7517-MONOMER,
PWY0-1497,RstBA Two-Component Signal Transduction System,ADP // ATP // RSTB-MONOMER // PHOSPHO-RSTA // RSTA-MONOMER // PHOSPHO-RSTB,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G6864 // EG11233,,
ACETATEUTIL-PWY,superpathway of acetate utilization and formation,AMP // PPI // ADP // ACET // ATP // CO-A // ACETYL-P // Pi // ACETYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00227'>C00227</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,EG11448 // EG10027 // EG20173 // G7288,ACS-MONOMER // ACETATEKINA-MONOMER // PHOSACETYLTRANS-CPLX // CPLX0-7912,acetyl-CoA synthetase (AMP-forming) // acetate kinase // phosphate acetyltransferase // phosphate acetyltransferase EutD
