Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-7728,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)",CARBON-DIOXIDE // CO-A // MALONYL-COA // ARACHIDONYL-COA // CPD-17324 // CPD-17367 // NADPH // CPD-17368 // NADP // FERRICYTOCHROME-B5 // WATER // CPD-17365 // CPD-17323 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02249'>C02249</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16173'>C16173</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16170'>C16170</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,HS09036 // HS00335 // ENSG00000096256 // HS07581 // HS05792 // HS05918,ENSG00000164181-MONOMER // ENSG00000012660-MONOMER // ENSG00000096256-MONOMER // HS07581-MONOMER // CPLX66-275 // HS05918-MONOMER,long-chain fatty acid elongase 7 // polyunsaturated long-chain fatty acid elongase 5 // polyunsaturated long-chain fatty acid elongase 2 // very-long-chain 3-oxoacyl-CoA reductase // peroxisomal multifunctional enzyme type 2 // acyl-CoA 4/6/8-desaturase
PWY-6133,(S)-reticuline biosynthesis,CPD-5881 // CPD-14053 // WATER // DOPAMINE // 34-DIHYDROXYPHENYLACETALDEHYDE // ADENOSYL-HOMO-CYS // S-RETICULINE // S-ADENOSYLMETHIONINE // S-NORLAUDANOSOLINE // GLT // 34-DIHYDROXYPHENYLPYRUVATE // 2-KETOGLUTARATE // L-DIHYDROXY-PHENYLALANINE // OXYGEN-MOLECULE // TYRAMINE // CARBON-DIOXIDE // PROTON // TYR,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15522'>C15522</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03758'>C03758</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04043'>C04043</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02105'>C02105</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02916'>C02916</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04045'>C04045</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00355'>C00355</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00483'>C00483</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00082'>C00082</a>,HS01248,HS01248-MONOMER,tyrosinase
PWY-8202,11-oxyandrogens biosynthesis,PREGNENOLONE // Ox-NADPH-Hemoprotein-Reductases // ACET // CPD66-23 // Red-NADPH-Hemoprotein-Reductases // CPD66-29 // 3-BETA-HYDROXYANDROST-5-EN-17-ONE // NADH // CPD-23957 // NAD // CPD-23979 // ANDROST4ENE // Oxidized-adrenal-ferredoxins // WATER // TESTOSTERONE // Reduced-adrenal-ferredoxins // OXYGEN-MOLECULE // CPD-13749 // CPD-18926 // CPD-23964 // CPD-23985 // CPD-23986 // CPD-23965 // PROTON // NADPH // CPD-23984 // CPD-23987 // NADP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01953'>C01953</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05138'>C05138</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20252'>C20252</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01227'>C01227</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00280'>C00280</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00535'>C00535</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14256'>C14256</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05285'>C05285</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a>,HS07560 // HS08829 // HS10943 // HS08547 // HS11355 // HS04154 // HS03054 // HS05461 // HS00619 // HS07261 // HS11043,HS07560-MONOMER // CPLX66-221 // CPLX66-220 // HS08547-MONOMER // HS11355-MONOMER // CPLX66-461 // HS03054-MONOMER // HS05461-MONOMER // HS00619-MONOMER // HS07261-MONOMER // ENSG00000176387-MONOMER,"steroid 17-alpha-hydroxylase/17,20 lyase // 3 &beta;-hydroxysteroid dehydrogenase/ &Delta; 5-->4-isomerase type 1 // 3 &beta;-hydroxysteroid dehydrogenase/ &Delta; 5-->4-isomerase type 2 // steroid 11&beta;-hydroxylase CYP11B1 // steroid 11&beta;-hydroxylase/18-hydroxylase CYP11B1 // corticosteroid 11-beta-dehydrogenase isozyme 1 // aldo-keto reductase family 1 member C3 // testosterone 17&beta;-dehydrogenase 3 // 3-oxo-5&alpha;-steroid 4-dehydrogenase 2 // 3-oxo-5&alpha;-steroid 4-dehydrogenase 1 // corticosteroid 11-beta-dehydrogenase isozyme 2"
PWY66-393,15-<i>epi</i>-lipoxin biosynthesis,CPD66-54 // CPD-22263 // Acceptor // ARACHIDONIC_ACID // Donor-H2 // CPD66-52 // OXYGEN-MOLECULE // WATER // CPD-22262 // CPD-22261,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS01115 // HS00336,CPLX-9723 // HS00336-MONOMER,prostaglandin G/H synthase 2 // arachidonate 5-lipoxygenase
PWY-6362,1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian),CPD-505 // MI-HEXAKISPHOSPHATE // CPD-1107 // ADP // PROTON // INOSITOL-1-4-5-TRISPHOSPHATE // ATP // Pi // INOSITOL-1-3-4-TRIPHOSPHATE // CPD-506 // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04477'>C04477</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01204'>C01204</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01284'>C01284</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01245'>C01245</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01243'>C01243</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01272'>C01272</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS02123 // HS05071 // HS01533 // HS06405 // HS07103 // HS07712 // HS05626 // HS00936 // HS11950 // HS01279 // HS04546 // HS05898 // HS08354 // HS09233 // HS09849,HS02123-MONOMER // HS05071-MONOMER // HS01533-MONOMER // HS06405-MONOMER // HS07103-MONOMER // HS07712-MONOMER // HS05626-MONOMER // HS00936-MONOMER // HS11950-MONOMER // HS01279-MONOMER // HS04546-MONOMER // HS05898-MONOMER // HS08354-MONOMER // HS09233-MONOMER // HS09849-MONOMER,"inositol-polyphosphate kinase/phosphatase // inositol-1,3,4,5,6-pentakisphosphate 2-kinase // inositol-trisphosphate 3-kinase C // inositol-trisphosphate 3-kinase A // inositol-trisphosphate 3-kinase B // inositol 1,3,4,6-tetrakisphosphate 5-kinase // inositol polyphosphate 5-phosphatase K // type I inositol-1,4,5-trisphosphate 5-phosphatase // phosphatidylinositol-4,5-bisphosphate 5-phosphatase, A // synaptojanin 2 // inositol polyphosphate 5-phosphatase OCRL1 // type II inositol-1,4,5-trisphosphate 5-phosphatase // synaptojanin 1 // phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2 // phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1"
PWY-6554,"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",MI-HEXAKISPHOSPHATE // CPD-506 // INOSITOL-1-3-4-TRIPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-505 // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01204'>C01204</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01272'>C01272</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01243'>C01243</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01284'>C01284</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04477'>C04477</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,HS05071 // HS02123 // HS07712,HS05071-MONOMER // HS02123-MONOMER // HS07712-MONOMER,"inositol-1,3,4,5,6-pentakisphosphate 2-kinase // inositol-polyphosphate kinase/phosphatase // inositol 1,3,4,6-tetrakisphosphate 5-kinase"
PWY-7180,2'-deoxy-&alpha;-D-ribose 1-phosphate degradation,DEOXY-D-RIBOSE-1-PHOSPHATE // GAP // DEOXY-RIBOSE-5P // PROTON // NADH // ACETYL-COA // ACETALD // CO-A // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00672'>C00672</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00118'>C00118</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00673'>C00673</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,HS09924 // HS00429 // HS06276 // HS05686 // HS03133 // HS00182,HS09924-MONOMER // HS00429-MONOMER // CPLX66-493 // HS05686-MONOMER // CPLX66-492 // HS00182-MONOMER,"phosphoglucomutase 2 // putative deoxyribose-phosphate aldolase // aldehyde dehydrogenase X // aldehyde dehydrogenase family 3 member B2 // aldehyde dehydrogenase, dimeric NADP-preferring // aldehyde dehydrogenase family 3 member B1"
PWY-5652,2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI // 2-AMINOMUCONATE_SEMIALDEHYDE // PROTON // GLUTARYL-COA // NADH // CARBON-DIOXIDE // 2K-ADIPATE // NAD // CO-A // AMMONIUM // CPD-8742 // WATER // 2-AMINO-MUCONATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04409'>C04409</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03824'>C03824</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00527'>C00527</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00322'>C00322</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02220'>C02220</a>,HS14455 // HS04229 // HS11585,HS14455-MONOMER // ENSG00000118514-MONOMER // HS11585-MONOMER,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase // aminomuconate-semialdehyde dehydrogenase // probable 2-oxoglutarate dehydrogenase E1 component DHKTD1
PWY-8052,2-arachidonoylglycerol biosynthesis,CPD-22224 // Fatty-Acids // INOSITOL-1-4-5-TRISPHOSPHATE // 2-Arachidonoyl-Phosphatidylinositols // CPD-12600 // CPD-22226 // Pi // 1-Acyl-2-Arachidonoyl-Glycerol-P // PROTON // PHOSPHORYL-CHOLINE // 1-Acyl-2-Arachidonoyl-Glycerols // 2-arachidonoyl-PC // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00162'>C00162</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01245'>C01245</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13856'>C13856</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00588'>C00588</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,HS02103 // HS09093 // HS05911 // HS11935 // G66-31698 // HS13315 // HS12901 // HS12592 // HS06877 // HS00898 // HS08670,ENSG00000100523-MONOMER // ENSG00000164535-MONOMER // ENSG00000134780-MONOMER // HS11935-MONOMER // G66-31698-MONOMER // HS13315-MONOMER // HS12901-MONOMER // HS12592-MONOMER // HS06877-MONOMER // HS00898-MONOMER // HS08670-MONOMER // MONOMER-19878,phospholipase DDHD1 // <i>sn</i>1-specific diacylglycerol lipase beta // <i>sn</i>1-specific diacylglycerol lipase alpha // phosphoinositide phospholipase C-&beta;1 // phospholipid phosphatase 4 // Lipid phosphate phosphatase-related protein type 3 // Lipid phosphate phosphatase-related protein type 4 // Lipid phosphate phosphatase-related protein type 2 // Lipid phosphate phosphohydrolase 2 // Lipid phosphate phosphohydrolase 1 // Lipid phosphate phosphohydrolase 3 // phosphatidylcholine-specific phospholipase C
PWY-8181,2-methyl-branched fatty acid &beta;-oxidation,ETF-Reduced // ETF-Oxidized // Short-Chain-2-Methyl-Fatty-Acids // PPI // AMP // Medium-Chain-2-Methyl-Fatty-Acids // ATP // Short-Chain-2-Methyl-2E-enoyl-CoA // Medium-Chain-2-Methyl-2E-enoyl-CoA // WATER // Long-Chain-2-Methyl-2E-enoyl-CoA // Short-Chain-3S-Hydroxy-2-Methyl-CoAs // Medium-Chain-3S-Hydroxy-2-Methyl-CoAs // PROTON // NADH // Long-Chain-3S-Hydroxy-2-Methyl-CoAs // NAD // Short-Chain-2-Methyl-3-oxoacyl-CoAs // Short-Chain-2-Me-Fatty-Acyl-CoA // Medium-Chain-2-Methyl-3-oxoacyl-CoAs // Medium-Chain-2-Me-Fatty-Acyl-CoA // CO-A // Long-Chain-2-Methyl-3-oxoacyl-CoAs // Long-Chain-2-Me-Fatty-Acyl-CoA // PROPIONYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04253'>C04253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00100'>C00100</a>,HS04089 // HS03876 // HS10828 // HS06695 // HS05377 // HS02532 // HS11936 // HS09445 // HS06436,CPLX-8483 // CPLX-8484 // CPLX66-480 // HS06695-MONOMER // HS05377-MONOMER // HS02532-MONOMER // HS11936-MONOMER // HS09445-MONOMER // HS06436-MONOMER,"medium-chain acyl-CoA dehydrogenase // long-chain-acyl-CoA dehydrogenase // short-chain 2-methylacyl-CoA dehydrohenase // very long-chain acyl-CoA synthetase // Long-chain-fatty-acid--CoA ligase ACSBG2 // Long-chain-fatty-acid--CoA ligase ACSBG1 // fatty-acid-Coenzyme A ligase, long-chain 6 // medium-chain acyl-CoA synthetase ACSM1 // mitochondrial trifunctional enzyme &beta; subunit"
