Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-5350,thiosulfate disproportionation III (rhodanese),HSCN // SO3 // PROTON // HCN // S2O3,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01755'>C01755</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01326'>C01326</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00320'>C00320</a>,MGI:98852,MGI:98852-MONOMER,"thiosulfate sulfurtransferase, mitochondrial"
PWY66-201,nicotine degradation II,HYDROGEN-PEROXIDE // CPD-2742 // CPD-3186 // ADENOSYL-HOMO-CYS // CPD-3183 // S-ADENOSYLMETHIONINE // CPD-2743 // UDP // CPD-2744 // UDP-GLUCURONATE // FORMALDEHYDE // CPD-2748 // CPD-2749 // CPD-3190 // CPD-3193 // CPD-3194 // 3-PYRIDYLACETIC-ACID // 4-3-PYRIDYL-BUTANOATE // WATER // NADP // PROTON // NICOTINE // NADPH // OXYGEN-MOLECULE // CPD-3187 // CPD-3192 // CPD-3189,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00021'>C00021</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00167'>C00167</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00067'>C00067</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00067'>C00067</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11360'>C11360</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00745'>C00745</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a>,MGI:88035 // MGI:102963 // MGI:2429497 // MGI:1100496 // MGI:1916776 // MGI:1310002 // MGI:1310004 // MGI:2681841 // MGI:3606068 // MGI:3032636 // MGI:2137698 // MGI:98898 // MGI:98900 // MGI:3576100 // MGI:1919023 // MGI:3576092 // MGI:2146055 // MGI:2145969 // MGI:1858451 // MGI:1930638 // MGI:106099 // MGI:88610 // MGI:88609 // MGI:1921384 // MGI:88607 // MGI:88600 // MGI:107303 // MGI:88598 // MGI:88597 // MGI:88596 // MGI:105055 // MGI:88589 // MGI:88588 // MGI:88587 // MGI:88606 // MGI:1923529 // MGI:88603 // MGI:88602 // MGI:88590 // MGI:2385878 // MGI:1919553 // MGI:1888897 // MGI:1306815 // MGI:1306818 // MGI:1306819 // MGI:1306806 // MGI:103238 // MGI:3714859 // MGI:1270148 // MGI:1270149 // MGI:88612 // MGI:103225 // MGI:1918769 // MGI:1919332 // MGI:3642960 // MGI:2147497,MGI:88035-MONOMER // MGI:102963-MONOMER // MGI:2429497-MONOMER // MGI:1100496-MONOMER // MGI:1916776-MONOMER // MGI:1310002-MONOMER // MGI:1310004-MONOMER // MGI:2681841-MONOMER // MGI:3606068-MONOMER // MGI:3032636-MONOMER // MGI:2137698-MONOMER // MGI:98898-MONOMER // MGI:98900-MONOMER // MGI:3576100-MONOMER // MGI:1919023-MONOMER // MGI:3576092-MONOMER // MGI:2146055-MONOMER // MGI:2145969-MONOMER // MGI:1858451-MONOMER // MGI:1930638-MONOMER // MGI:106099-MONOMER // MGI:88610-MONOMER // MGI:88609-MONOMER // MGI:1921384-MONOMER // MGI:88607-MONOMER // MGI:88600-MONOMER // MGI:107303-MONOMER // MGI:88598-MONOMER // MGI:88597-MONOMER // MGI:88596-MONOMER // MGI:105055-MONOMER // MGI:88589-MONOMER // MGI:88588-MONOMER // MGI:88587-MONOMER // MGI:88606-MONOMER // MGI:1923529-MONOMER // MGI:88603-MONOMER // MGI:88602-MONOMER // MGI:88590-MONOMER // MGI:2385878-MONOMER // MGI:1919553-MONOMER // MGI:1888897-MONOMER // MGI:1306815-MONOMER // MGI:1306818-MONOMER // MGI:1306819-MONOMER // MGI:1306806-MONOMER // MGI:103238-MONOMER // MGI:3714859-MONOMER // MGI:1270148-MONOMER // MGI:1270149-MONOMER // MGI:88612-MONOMER // MGI:103225-MONOMER // MGI:1918769-MONOMER // MGI:1919332-MONOMER // MGI:3642960-MONOMER // MGI:2147497-MONOMER,"aldehyde oxidase 1 // indolethylamine N-methyltransferase // flavin containing monooxygenase 4 // flavin containing monooxygenase 3 // flavin containing monooxygenase 2 // flavin containing monooxygenase 1 // flavin containing monooxygenase 5 // flavin containing monooxygenase 6 // flavin containing monooxygenase 9 // UDP glucuronosyltransferase 1 family, polypeptide A7C // UDP glucuronosyltransferase 1 family, polypeptide A6A // UDP glucuronosyltransferase 1 family, polypeptide A1 // UDP glucuronosyltransferase 2 family, polypeptide B5 // UDP glucuronosyltransferase 2 family, polypeptide B35 // UDP glucuronosyltransferase 2 family, polypeptide B1 // UDP glucuronosyltransferase 1 family, polypeptide A9 // UDP glycosyltransferases 3 family, polypeptide A1 // UDP glycosyltransferases 3 family, polypeptide A2 // cytochrome P450, family 3, subfamily a, polypeptide 41A // cytochrome P450, family 3, subfamily a, polypeptide 25 // cytochrome P450, family 3, subfamily a, polypeptide 16 // cytochrome P450, family 3, subfamily a, polypeptide 13 // cytochrome P450, family 3, subfamily a, polypeptide 11 // cytochrome P450, family 2, subfamily s, polypeptide 1 // cytochrome P450, family 2, subfamily e, polypeptide 1"
DETOX1-PWY,superoxide radicals degradation,SUPER-OXIDE // PROTON // OXYGEN-MOLECULE // WATER // HYDROGEN-PEROXIDE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00704'>C00704</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a>,MGI:103181 // MGI:98351 // MGI:98352 // MGI:1929811 // MGI:88271,MGI:103181-MONOMER // MGI:98351-MONOMER // MGI:98352-MONOMER // MGI:1929811-MONOMER // MGI:88271-MONOMER,"superoxide dismutase 3, extracellular // superoxide dismutase 1, soluble // superoxide dismutase 2, mitochondrial // superoxide dismutase 1, soluble, modifier // catalase"
GLUTAMATE-SYN2-PWY,glutamate biosynthesis II,2-KETOGLUTARATE // NADH-P-OR-NOP // AMMONIA // NAD-P-OR-NOP // WATER // GLT,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a>,MGI:95753 // MGI:95754,MGI:95753-MONOMER // MGI:95754-MONOMER,glutamate dehydrogenase 1 // glutamate dehydrogenase 2
PWY3FA-941,ketogenesis,CO-A // ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADH // NAD // CPD-335 // CARBON-DIOXIDE // ACETONE // PROTON // 3-KETOBUTYRATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00332'>C00332</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00356'>C00356</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01089'>C01089</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00207'>C00207</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00164'>C00164</a>,MGI:87870 // MGI:87871 // MGI:101939 // MGI:107592 // MGI:96158 // MGI:2446108 // MGI:1917022 // MGI:1919161,MGI:87870-MONOMER // MGI:87871-MONOMER // MGI:101939-MONOMER // MGI:107592-MONOMER // MGI:96158-MONOMER // MGI:2446108-MONOMER // MGI:1917022-MONOMER // MGI:1919161-MONOMER,"acetyl-Coenzyme A acetyltransferase 1 // acetyl-Coenzyme A acetyltransferase 2 // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 // 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 // 3-hydroxy-3-methylglutaryl-Coenzyme A lyase // 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1 // 3-hydroxybutyrate dehydrogenase, type 2 // 3-hydroxybutyrate dehydrogenase, type 1"
PWY3O-4106,NAD salvage pathway III,PPI // NAD // ADP // NICOTINAMIDE_NUCLEOTIDE // PROTON // NICOTINAMIDE_RIBOSE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00455'>C00455</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03150'>C03150</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:2444155 // MGI:1913704 // MGI:1921330 // MGI:1916814,MGI:2444155-MONOMER // MGI:1913704-MONOMER // MGI:1921330-MONOMER // MGI:1916814-MONOMER,nicotinamide nucleotide adenylyltransferase 2 // nicotinamide nucleotide adenylyltransferase 1 // nicotinamide nucleotide adenylyltransferase 3 // integrin beta 1 binding protein 3
PWY-5994,palmitate biosynthesis I (animals),Hex-2-enoyl-ACPs // R-3-hydroxyhexanoyl-ACPs // Acetoacetyl-ACPs // Crotonyl-ACPs // Beta-3-hydroxybutyryl-ACPs // 2-Octenoyl-ACPs // 3-Hydroxy-octanoyl-ACPs // Trans-D2-decenoyl-ACPs // Beta-hydroxydecanoyl-ACPs // R-3-hydroxydodecanoyl-ACPs // Dodec-2-enoyl-ACPs // R-3-hydroxymyristoyl-ACPs // Tetradec-2-enoyl-ACPs // R-3-Hydroxypalmitoyl-ACPs // PROTON // NADPH // 2-Hexadecenoyl-ACPs // NADP // PALMITATE // Palmitoyl-ACPs // DODECANOATE // ACP // WATER // 3-oxo-hexanoyl-ACPs // Butanoyl-ACPs // 3-Oxo-octanoyl-ACPs // Hexanoyl-ACPs // 3-oxo-decanoyl-ACPs // Octanoyl-ACPs // 3-oxo-dodecanoyl-ACPs // Decanoyl-ACPs // 3-oxo-myristoyl-ACPs // Dodecanoyl-ACPs // CO-A // CARBON-DIOXIDE // 3-oxo-palmitoyl-ACPs // Myristoyl-ACPs // MALONYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00249'>C00249</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02679'>C02679</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a>,MGI:2384567 // MGI:95485,MGI:2384567-MONOMER // MGI:95485-MONOMER,carbonyl reductase 4 // fatty acid synthase
SALVADEHYPOX-PWY,adenosine nucleotides degradation II,RIBOSE-1P // INOSINE // AMMONIA // URATE // PROTON // NADH // XANTHINE // HYPOXANTHINE // NAD // Pi // ADENOSINE // AMP // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00620'>C00620</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00294'>C00294</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00366'>C00366</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00385'>C00385</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00262'>C00262</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00212'>C00212</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,MGI:97365 // MGI:3712328 // MGI:87916 // MGI:103258 // MGI:891999 // MGI:1923023 // MGI:98973 // MGI:1915356 // MGI:3513266 // MGI:2442446 // MGI:2155700 // MGI:1917127 // MGI:1354954 // MGI:1321386 // MGI:2178563 // MGI:1917271 // MGI:1918131 // MGI:99782 // MGI:1927186,MGI:97365-MONOMER // MGI:3712328-MONOMER // MGI:87916-MONOMER // MGI:103258-MONOMER // MGI:891999-MONOMER // MGI:1923023-MONOMER // CPLX3DJ-117 // MGI:1915356-MONOMER // MGI:3513266-MONOMER // MGI:2442446-MONOMER // MGI:2155700-MONOMER // MGI:1917127-MONOMER // MGI:1354954-MONOMER // MGI:1321386-MONOMER // MGI:2178563-MONOMER // MGI:1917271-MONOMER // MGI:1918131-MONOMER // MGI:99782-MONOMER // MGI:1927186-MONOMER,"purine-nucleoside phosphorylase 1 // purine-nucleoside phosphorylase 2 // adenosine deaminase // adenosine deaminase domain containing 1 (testis specific) // adenosine deaminase, RNA-specific, B1 // adenosine deaminase domain containing 2 // xanthine dehydrogenase // 5'-nucleotidase, cytosolic III-like // 5'-nucleotidase domain containing 3 // 5'-nucleotidase domain containing 1 // 5'-nucleotidase, cytosolic IA // 5',3'-nucleotidase, mitochondrial // 5',3'-nucleotidase, cytosolic // ectonucleoside triphosphate diphosphohydrolase 3 // 5'-nucleotidase, cytosolic II // 5'-nucleotidase domain containing 2 // 5'-nucleotidase, cytosolic IB // 5' nucleotidase, ecto // 5'-nucleotidase, cytosolic III"
COLANSYN-PWY,colanic acid building blocks biosynthesis,ADP // ALPHA-D-GALACTOSE // ATP // GALACTOSE-1P // UDP-GALACTOSE // GLC-1-P // UTP // NADH // UDP-GLUCURONATE // UDP-GLUCOSE // NAD // WATER // GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE // NADPH // GUANOSINE_DIPHOSPHATE_FUCOSE // NADP // GLC-6-P // FRUCTOSE-6P // MANNOSE-6P // PPI // GDP-MANNOSE // PROTON // MANNOSE-1P // GTP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00984'>C00984</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00446'>C00446</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00052'>C00052</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00103'>C00103</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00075'>C00075</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00167'>C00167</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01222'>C01222</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00325'>C00325</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01172'>C01172</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00085'>C00085</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00275'>C00275</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00096'>C00096</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00636'>C00636</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?c00044'>c00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a>,MGI:95730 // MGI:1917226 // MGI:95638 // MGI:1921496 // MGI:2183447 // MGI:1306785 // MGI:1891112 // MGI:98857 // MGI:95797 // MGI:97075 // MGI:1353418 // MGI:1859214 // MGI:2660880 // MGI:1916330,MGI:95730-MONOMER // MGI:1917226-MONOMER // MGI:95638-MONOMER // MGI:1921496-MONOMER // MGI:2183447-MONOMER // MGI:1306785-MONOMER // MGI:1891112-MONOMER // MGI:98857-MONOMER // MGI:95797-MONOMER // MGI:97075-MONOMER // MGI:1353418-MONOMER // MGI:1859214-MONOMER // MGI:2660880-MONOMER // MGI:1916330-MONOMER,"galactokinase 1 // galactokinase 2 // galactose-1-phosphate uridyl transferase // galactose-4-epimerase, UDP // UDP-glucose pyrophosphorylase 2 // UDP-glucose dehydrogenase // GDP-mannose 4, 6-dehydratase // tissue specific transplantation antigen P35B // glucose phosphate isomerase 1 // mannose phosphate isomerase // phosphomannomutase 1 // phosphomannomutase 2 // GDP-mannose pyrophosphorylase B // GDP-mannose pyrophosphorylase A"
PWY-6365,"D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis",Pi // WATER // CPD-505 // INOSITOL-1-3-4-TRIPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-178 // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00009'>C00009</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04477'>C04477</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01243'>C01243</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01284'>C01284</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04520'>C04520</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,MGI:2446159,MGI:2446159-MONOMER,"inositol 1,3,4-triphosphate 5/6 kinase"
